"OP_CARRIER","DEP_TIME","DEP_DELAY","ORIGIN","DEST","DISTANCE"
"AA","2024-07-21T23:49:00Z","840","KORD","KAUS","1017"
"OO","2024-07-21T23:25:00Z","-420","KRDU","KAUS","1303"
"WN","2024-07-21T23:50:00Z","480","KMCO","KAUS","1020"
"F9","2024-07-21T22:49:00Z","5580","KDEN","KAUS","868"
"UA","2024-07-22T00:05:00Z","2340","KDEN","KAUS","849"
"WN","2024-07-21T23:25:00Z","2460","KPHX","KAUS","916"
"UA","2024-07-21T23:20:00Z","0","KIAH","KAUS","158"
"WN","2024-07-22T01:30:00Z","2640","KHOU","KAUS","148"
"OO","2024-07-21T23:15:00Z","6240","KBNA","KAUS","834"
"WN","2024-07-22T00:15:00Z","3840","KSTL","KAUS","737"
"AA","2024-07-21T23:00:00Z","12600","KDFW","KAUS","191"
"G4","2024-07-21T23:36:00Z","1800","KIAD","KAUS","1296"
"G4","2024-07-21T23:44:00Z","5820","KSRQ","KAUS","977"
"AA","2024-07-22T00:17:00Z","2760","KLAS","KAUS","1089"
"UA","2024-07-22T02:57:00Z","0","KIAH","KAUS","158"
"AA","2024-07-22T00:00:00Z","360","KJFK","KAUS","1573"
"UA","2024-07-22T00:55:00Z","120","KORD","KAUS","993"
"AA","2024-07-22T01:28:00Z","600","KORD","KAUS","1004"
"AA","2024-07-22T01:21:00Z","420","KMIA","KAUS","1134"
"DL","2024-07-21T18:23:00Z","22680","KSEA","KAUS","1806"
"AS","2024-07-22T00:11:00Z","2580","KSFO","KAUS","1689"
"WN","2024-07-22T02:50:00Z","720","KMSY","KAUS","444"
"WN","2024-07-22T03:25:00Z","240","KDAL","KAUS","217"
"WN","2024-07-22T03:40:00Z","0","KHOU","KAUS","148"
"DL","2024-07-22T00:05:00Z","7260","KLAS","KAUS","1089"
"WN","2024-07-22T01:00:00Z","6000","KDEN","KAUS","846"
"AS","2024-07-22T01:30:00Z","720","KSAN","KAUS","1163"
"AA","2024-07-22T01:40:00Z","7500","KDFW","KAUS","191"
"WN","2024-07-22T01:05:00Z","360","KBWI","KAUS","1380"
"AA","2024-07-22T00:39:00Z","3660","KCLT","KAUS","1085"
"WN","2024-07-22T01:20:00Z","4020","KLAS","KAUS","1089"
"WN","2024-07-21T22:55:00Z","14460","KDEN","KAUS","777"
"AA","2024-07-22T01:50:00Z","3840","KPHX","KAUS","871"
"DL","2024-07-21T23:20:00Z","12300","KATL","KAUS","812"
"AS","2024-07-22T00:50:00Z","1140","KSEA","KAUS","1839"
"AA","2024-07-22T01:47:00Z","1320","KLAX","KAUS","1241"
"DL","2024-07-22T00:55:00Z","6600","KMSP","KAUS","1044"
"UA","2024-07-22T01:39:00Z","0","KSFO","KAUS","1584"
"DL","2024-07-21T23:12:00Z","12840","KSLC","KAUS","1086"
"AA","2024-07-22T02:30:00Z","7080","KDFW","KAUS","191"
"UA","2024-07-22T01:55:00Z","120","KLAX","KAUS","1241"
"DL","2024-07-22T03:13:00Z","0","KATL","KAUS","920"
"UA","2024-07-22T02:46:00Z","3240","KDEN","KAUS","777"
"G4","2024-07-22T02:29:00Z","4500","KDSM","KAUS","822"
"WN","2024-07-22T02:50:00Z","1740","KATL","KAUS","812"
"WN","2024-07-22T02:55:00Z","0","KLAX","KAUS","1331"
"WN","2024-07-22T03:20:00Z","51","KMDW","KAUS","989"
"WN","2024-07-22T02:15:00Z","780","KSJC","KAUS","1475"
"WN","2024-07-22T01:55:00Z","3960","KSAN","KAUS","1163"
"AA","2024-07-22T03:45:00Z","4500","KDFW","KAUS","191"
"DL","2024-07-22T00:40:00Z","5760","KSEA","KAUS","1771"
"DL","2024-07-21T19:59:00Z","25560","KDTW","KAUS","1253"
"WN","2024-07-22T03:35:00Z","0","KLAS","KAUS","1089"
"AA","2024-07-21T22:50:00Z","6840","KCLT","KAUS","1032"
"WN","2024-07-22T04:15:00Z","0","KDEN","KAUS","777"
"WN","2024-07-22T03:55:00Z","780","KBNA","KAUS","756"
"DL","2024-07-22T02:48:00Z","5340","KSLC","KAUS","1145"
"WN","2024-07-22T04:00:00Z","1860","KPHX","KAUS","871"
"DL","2024-07-22T01:49:00Z","12180","KATL","KAUS","812"
"DL","2024-07-22T01:56:00Z","9660","KLAX","KAUS","1241"
"5Y","2024-07-22T06:12:00Z","0","KCVG","KAUS","999"
"UA","2024-07-22T06:10:00Z","0","KSFO","KAUS","1503"
"MQ","2024-07-22T06:59:00Z","0","KLAS","KAUS","1089"
"OO","2024-07-22T10:25:00Z","0","KMAF","KAUS","294"
"OO","2024-07-22T10:29:00Z","0","KMFE","KAUS","280"
"NK","2024-07-22T09:13:00Z","0","KMCO","KAUS","993"
"WN","2024-07-22T09:35:00Z","0","KTPA","KAUS","964"
"WN","2024-07-22T10:40:00Z","0","KMSY","KAUS","466"
"WN","2024-07-22T10:00:00Z","0","KATL","KAUS","812"
"WN","2024-07-22T10:15:00Z","0","KBNA","KAUS","756"
"WN","2024-07-22T10:35:00Z","0","KMCI","KAUS","656"
"WN","2024-07-22T11:10:00Z","0","KLBB","KAUS","358"
"WN","2024-07-22T11:25:00Z","0","KDAL","KAUS","190"
"HA","2024-07-22T05:05:00Z","0","PHNL","KAUS","3849"
"WN","2024-07-22T10:25:00Z","0","KMDW","KAUS","989"
"G4","2024-07-22T10:30:00Z","0","KCVG","KAUS","1018"
"WN","2024-07-22T10:35:00Z","0","KMCO","KAUS","1042"
"WN","2024-07-22T10:40:00Z","0","KMSP","KAUS","1054"
"F9","2024-07-22T11:01:00Z","0","KDEN","KAUS","818"
"WN","2024-07-22T10:50:00Z","0","KIND","KAUS","959"
"OO","2024-07-22T10:10:00Z","0","KRDU","KAUS","1161"
"WN","2024-07-22T12:15:00Z","0","KHRL","KAUS","331"
"WN","2024-07-22T11:20:00Z","0","KDEN","KAUS","818"
"AA","2024-07-22T12:10:00Z","0","KDFW","KAUS","191"
"UA","2024-07-22T12:30:00Z","0","KIAH","KAUS","140"
"WN","2024-07-22T10:15:00Z","0","KBWI","KAUS","1418"
"WN","2024-07-22T12:00:00Z","0","KELP","KAUS","548"
"MQ","2024-07-22T11:29:00Z","0","KIND","KAUS","920"
"WN","2024-07-22T13:00:00Z","0","KHOU","KAUS","161"
"NK","2024-07-22T11:05:00Z","0","KFLL","KAUS","1105"
"OO","2024-07-22T13:00:00Z","0","KDFW","KAUS","191"
"OO","2024-07-22T12:05:00Z","0","KBNA","KAUS","756"
"WN","2024-07-22T12:15:00Z","0","KPHX","KAUS","871"
"DL","2024-07-22T12:15:00Z","0","KATL","KAUS","812"
"MQ","2024-07-22T11:30:00Z","0","KRDU","KAUS","1161"
"OO","2024-07-22T12:20:00Z","0","KCVG","KAUS","959"
"WN","2024-07-22T12:10:00Z","0","KLAS","KAUS","1089"
"DL","2024-07-22T10:35:00Z","0","KBOS","KAUS","1698"
"WN","2024-07-22T12:45:00Z","0","KBNA","KAUS","756"
"WN","2024-07-22T14:00:00Z","0","KDAL","KAUS","217"
"AA","2024-07-22T13:55:00Z","0","KDFW","KAUS","191"
"DL","2024-07-22T11:00:00Z","0","KJFK","KAUS","1521"
"WN","2024-07-22T12:35:00Z","0","KMDW","KAUS","974"
"WN","2024-07-22T13:20:00Z","0","KABQ","KAUS","656"
"UA","2024-07-22T12:20:00Z","0","KORD","KAUS","979"
"UA","2024-07-22T11:15:00Z","0","KEWR","KAUS","1503"
"G4","2024-07-22T13:00:00Z","0","KIND","KAUS","960"
"WN","2024-07-22T13:20:00Z","0","KATL","KAUS","882"
"WN","2024-07-22T13:05:00Z","0","KMCO","KAUS","1042"
"UA","2024-07-22T12:24:00Z","0","KIAD","KAUS","1296"
"MQ","2024-07-22T13:40:00Z","0","KBNA","KAUS","756"
"AA","2024-07-22T11:59:00Z","0","KJFK","KAUS","1521"
"AA","2024-07-22T12:40:00Z","0","KMIA","KAUS","1103"
"DL","2024-07-22T12:55:00Z","0","KDTW","KAUS","1150"
"G4","2024-07-22T13:15:00Z","0","KLAS","KAUS","1133"
"WN","2024-07-22T14:00:00Z","0","KDEN","KAUS","777"
"AA","2024-07-22T15:10:00Z","0","KDFW","KAUS","191"
"WN","2024-07-22T13:10:00Z","0","KLAX","KAUS","1241"
"AA","2024-07-22T13:20:00Z","0","KCLT","KAUS","1032"
"AA","2024-07-22T13:30:00Z","0","KORD","KAUS","979"
"RV","2024-07-22T13:00:00Z","0","CYYZ","KAUS","1360"
"YV","2024-07-22T15:22:00Z","0","KIAH","KAUS","140"
"UA","2024-07-22T14:20:00Z","0","KDEN","KAUS","777"
"WN","2024-07-22T13:15:00Z","0","KSMF","KAUS","1513"
"WN","2024-07-22T13:40:00Z","0","KFLL","KAUS","1105"
"WN","2024-07-22T13:35:00Z","0","KSAN","KAUS","1206"
"WN","2024-07-22T15:40:00Z","0","KDAL","KAUS","217"
"G4","2024-07-22T14:17:00Z","0","KSDF","KAUS","947"
