OP_CARRIER,DEP_TIME,DEP_DELAY,ORIGIN,DEST,DISTANCE,CARRIER_DELAY_Prediction
AA,2024-07-21T23:49:00Z,840,KORD,KAUS,1017,766.5122680664062
OO,2024-07-21T23:25:00Z,-420,KRDU,KAUS,1303,33.38838195800781
WN,2024-07-21T23:50:00Z,480,KMCO,KAUS,1020,457.9305419921875
F9,2024-07-21T22:49:00Z,5580,KDEN,KAUS,868,2845.37548828125
UA,2024-07-22T00:05:00Z,2340,KDEN,KAUS,849,2846.5546875
WN,2024-07-21T23:25:00Z,2460,KPHX,KAUS,916,2845.375732421875
UA,2024-07-21T23:20:00Z,0,KIAH,KAUS,158,19.305845260620117
WN,2024-07-22T01:30:00Z,2640,KHOU,KAUS,148,2845.571044921875
OO,2024-07-21T23:15:00Z,6240,KBNA,KAUS,834,2844.9287109375
WN,2024-07-22T00:15:00Z,3840,KSTL,KAUS,737,2845.21484375
AA,2024-07-21T23:00:00Z,12600,KDFW,KAUS,191,2839.33642578125
G4,2024-07-21T23:36:00Z,1800,KIAD,KAUS,1296,1315.816650390625
G4,2024-07-21T23:44:00Z,5820,KSRQ,KAUS,977,2737.1591796875
AA,2024-07-22T00:17:00Z,2760,KLAS,KAUS,1089,2840.40087890625
UA,2024-07-22T02:57:00Z,0,KIAH,KAUS,158,24.566926956176758
AA,2024-07-22T00:00:00Z,360,KJFK,KAUS,1573,334.5924377441406
UA,2024-07-22T00:55:00Z,120,KORD,KAUS,993,115.80669403076172
AA,2024-07-22T01:28:00Z,600,KORD,KAUS,1004,565.8649291992188
AA,2024-07-22T01:21:00Z,420,KMIA,KAUS,1134,349.6108703613281
DL,2024-07-21T18:23:00Z,22680,KSEA,KAUS,1806,2846.3154296875
AS,2024-07-22T00:11:00Z,2580,KSFO,KAUS,1689,2843.893310546875
WN,2024-07-22T02:50:00Z,720,KMSY,KAUS,444,712.1517944335938
WN,2024-07-22T03:25:00Z,240,KDAL,KAUS,217,225.9523468017578
WN,2024-07-22T03:40:00Z,0,KHOU,KAUS,148,24.317672729492188
DL,2024-07-22T00:05:00Z,7260,KLAS,KAUS,1089,2848.1640625
WN,2024-07-22T01:00:00Z,6000,KDEN,KAUS,846,2845.571044921875
AS,2024-07-22T01:30:00Z,720,KSAN,KAUS,1163,723.9769897460938
AA,2024-07-22T01:40:00Z,7500,KDFW,KAUS,191,2838.980224609375
WN,2024-07-22T01:05:00Z,360,KBWI,KAUS,1380,334.19146728515625
AA,2024-07-22T00:39:00Z,3660,KCLT,KAUS,1085,2840.403076171875
WN,2024-07-22T01:20:00Z,4020,KLAS,KAUS,1089,2845.571044921875
WN,2024-07-21T22:55:00Z,14460,KDEN,KAUS,777,2846.82421875
AA,2024-07-22T01:50:00Z,3840,KPHX,KAUS,871,2838.952392578125
DL,2024-07-21T23:20:00Z,12300,KATL,KAUS,812,2839.67333984375
AS,2024-07-22T00:50:00Z,1140,KSEA,KAUS,1839,725.2702026367188
AA,2024-07-22T01:47:00Z,1320,KLAX,KAUS,1241,368.5543212890625
DL,2024-07-22T00:55:00Z,6600,KMSP,KAUS,1044,2845.37548828125
UA,2024-07-22T01:39:00Z,0,KSFO,KAUS,1584,26.20214080810547
DL,2024-07-21T23:12:00Z,12840,KSLC,KAUS,1086,2841.758544921875
AA,2024-07-22T02:30:00Z,7080,KDFW,KAUS,191,2840.589599609375
