ident,ident_icao,ident_iata,actual_runway_off,actual_runway_on,fa_flight_id,operator,operator_icao,operator_iata,flight_number,registration,atc_ident,inbound_fa_flight_id,blocked,diverted,cancelled,position_only,origin_code,origin_code_icao,origin_code_iata,origin_code_lid,origin_timezone,origin_name,origin_city,origin_airport_info_url,destination_code,destination_code_icao,destination_code_iata,destination_code_lid,destination_timezone,destination_name,destination_city,destination_airport_info_url,departure_delay,arrival_delay,filed_ete,progress_percent,status,aircraft_type,route_distance,filed_airspeed,filed_altitude,route,baggage_claim,seats_cabin_business,seats_cabin_coach,seats_cabin_first,gate_origin,gate_destination,terminal_origin,terminal_destination,type,scheduled_out,estimated_out,actual_out,scheduled_off,estimated_off,actual_off,scheduled_on,estimated_on,actual_on,scheduled_in,estimated_in,actual_in
DAL1167,DAL1167,DL1167,22R,,DAL1167-1720758343-fa-1239p,DAL,DAL,DL,1167,N349NW,,DAL1411-1720782094-fa-176p,False,False,False,False,KJFK,KJFK,JFK,JFK,America/New_York,John F Kennedy Intl,New York,/airports/KJFK,KAUS,KAUS,AUS,AUS,America/Chicago,Austin-Bergstrom Intl,Austin,/airports/KAUS,360,-300,12840,99,En Route / On Time,A320,1521,472,320,WAVEY EMJAY Q167 ZJAAY Q97 SAWED GUILD Q409 MRPIT CEELY Q172 YUTEE IRQ NOKIE MGMRY LCH LUKKN WLEEE7,,16,131,,B49,7,4,,Airline,2024-07-14T17:18:00Z,2024-07-14T17:18:00Z,2024-07-14T17:24:00Z,2024-07-14T17:28:00Z,2024-07-14T17:39:38Z,2024-07-14T17:39:38Z,2024-07-14T21:02:00Z,2024-07-14T21:07:00Z,,2024-07-14T21:27:00Z,2024-07-14T21:22:00Z,
SKW3631,SKW3631,OO3631,14,,SKW3631-1720805780-schedule-738p,SKW,SKW,OO,3631,N311SY,,,False,False,False,False,KMFE,KMFE,MFE,MFE,America/Chicago,Mc Allen Intl,Mc Allen,/airports/KMFE,KAUS,KAUS,AUS,AUS,America/Chicago,Austin-Bergstrom Intl,Austin,/airports/KAUS,8760,8520,2880,99,En Route / Delayed,E75L,371,448,320,ELIZA V17 LRD HFMAN DXEEE3,,,,,4,32,,,Airline,2024-07-14T17:34:00Z,2024-07-14T19:52:00Z,2024-07-14T20:00:00Z,2024-07-14T17:44:00Z,2024-07-14T20:16:18Z,2024-07-14T20:16:18Z,2024-07-14T18:32:00Z,2024-07-14T21:07:00Z,,2024-07-14T18:55:00Z,2024-07-14T21:17:00Z,
AAL410,AAL410,AA410,22L,,AAL410-1720808568-airline-788p,AAL,AAL,AA,410,N953AN,,AAL2447-1720793182-schedule-5292p,False,False,False,False,KORD,KORD,ORD,ORD,America/Chicago,Chicago O'Hare Intl,Chicago,/airports/KORD,KAUS,KAUS,AUS,AUS,America/Chicago,Austin-Bergstrom Intl,Austin,/airports/KAUS,1980,1080,8460,98,En Route / On Time,B738,979,466,340,ACITO ADELL ARLYN STL FSM BROBB WINDU SEWZY6,,,,,H16,26,3,,Airline,2024-07-14T18:18:00Z,2024-07-14T18:43:00Z,2024-07-14T18:51:00Z,2024-07-14T18:28:00Z,2024-07-14T19:05:39Z,2024-07-14T19:05:39Z,2024-07-14T20:49:00Z,2024-07-14T21:08:00Z,,2024-07-14T20:58:00Z,2024-07-14T21:16:00Z,
BAW191,BAW191,BA191,27R,,BAW191-1720781469-airline-1551p,BAW,BAW,BA,191,G-XWBB,BAW91C,BAW58-1720717291-schedule-3088p,False,False,False,False,EGLL,EGLL,LHR,,Europe/London,London Heathrow,London,/airports/EGLL,KAUS,KAUS,AUS,AUS,America/Chicago,Austin-Bergstrom Intl,Austin,/airports/KAUS,2280,1260,34500,99,En Route / Delayed,A35K,5794,494,340,KF15E WINDU SEWZY6,,,,,42,,3,,Airline,2024-07-14T10:50:00Z,2024-07-14T11:30:00Z,2024-07-14T11:28:00Z,2024-07-14T11:00:00Z,2024-07-14T11:50:12Z,2024-07-14T11:50:12Z,2024-07-14T20:35:00Z,2024-07-14T21:11:00Z,,2024-07-14T21:00:00Z,2024-07-14T21:21:00Z,
AAL2458,AAL2458,AA2458,20R,,AAL2458-1720796451-airline-1398p,AAL,AAL,AA,2458,N762US,,AAL2458-1720796451-airline-1397p,False,False,False,False,KSNA,KSNA,SNA,SNA,America/Los_Angeles,John Wayne,Santa Ana,/airports/KSNA,KAUS,KAUS,AUS,AUS,America/Chicago,Austin-Bergstrom Intl,Austin,/airports/KAUS,-180,-1440,9840,96,En Route / On Time,A319,1227,457,370,PIGGN3 CNERY BLH J169 TFD J50 SSO J4 EWM PEQ DILLO LAIKS3,,,,,7,28,,,Airline,2024-07-14T18:38:00Z,2024-07-14T18:38:00Z,2024-07-14T18:35:00Z,2024-07-14T18:48:00Z,2024-07-14T18:44:57Z,2024-07-14T18:44:57Z,2024-07-14T21:32:00Z,2024-07-14T21:11:00Z,,2024-07-14T21:45:00Z,2024-07-14T21:21:00Z,
SWA5425,SWA5425,WN5425,26R,,SWA5425-1720784727-airline-1650p,SWA,SWA,WN,5425,N7729A,,SWA5425-1720784727-airline-1651p,False,False,False,False,KLAS,KLAS,LAS,LAS,America/Los_Angeles,Harry Reid Intl,Las Vegas,/airports/KLAS,KAUS,KAUS,AUS,AUS,America/Chicago,Austin-Bergstrom Intl,Austin,/airports/KAUS,-180,660,8400,96,En Route / On Time,B737,1120,454,390,NIITZ3 SSKEE INW J86 ELP J183 PEQ J183 FUSCO DILLO LAIKS3,,,,,C3,20,1,,Airline,2024-07-14T18:20:00Z,2024-07-14T18:17:00Z,2024-07-14T18:17:00Z,2024-07-14T18:30:00Z,2024-07-14T18:54:25Z,2024-07-14T18:54:25Z,2024-07-14T20:50:00Z,2024-07-14T21:11:00Z,,2024-07-14T21:10:00Z,2024-07-14T21:21:00Z,
SKW4153,SKW4153,OO4153,23R,,SKW4153-1720802819-schedule-902p,SKW,SKW,OO,4153,N323SY,,,False,False,False,False,KRDU,KRDU,RDU,RDU,America/New_York,Raleigh-Durham Intl,Raleigh/Durham,/airports/KRDU,KAUS,KAUS,AUS,AUS,America/Chicago,Austin-Bergstrom Intl,Austin,/airports/KAUS,6060,5400,9480,96,En Route / Delayed,E75L,1161,452,340,SHPRD4 SHPRD BURGG THRSR GARTS LCH WEEED WLEEE7,,,,,D6,8,2,,Airline,2024-07-14T16:39:00Z,2024-07-14T18:14:00Z,2024-07-14T18:20:00Z,2024-07-14T16:49:00Z,2024-07-14T18:35:32Z,2024-07-14T18:35:32Z,2024-07-14T19:27:00Z,2024-07-14T21:12:00Z,,2024-07-14T19:50:00Z,2024-07-14T21:20:00Z,
JBU295,JBU295,B6295,22R,,JBU295-1720803898-schedule-136p,JBU,JBU,B6,295,N633JB,,JBU1960-1720780588-schedule-1008p,False,False,False,False,KJFK,KJFK,JFK,JFK,America/New_York,John F Kennedy Intl,New York,/airports/KJFK,KAUS,KAUS,AUS,AUS,America/Chicago,Austin-Bergstrom Intl,Austin,/airports/KAUS,2040,2700,12720,94,En Route / Delayed,A320,1693,461,340,WAVEY EMJAY Q167 ZJAAY Q97 SAWED GUILD Q409 MRPIT CEELY Q172 YUTEE IRQ NOKIE MGMRY LCH LUKKN WLEEE7,,,,,25,34,5,,Airline,2024-07-14T16:55:00Z,2024-07-14T17:30:00Z,2024-07-14T17:29:00Z,2024-07-14T17:05:00Z,2024-07-14T17:49:45Z,2024-07-14T17:49:45Z,2024-07-14T20:37:00Z,2024-07-14T21:17:00Z,,2024-07-14T20:55:00Z,2024-07-14T21:40:00Z,
SWA5133,SWA5133,WN5133,30L,,SWA5133-1720812778-airline-85p,SWA,SWA,WN,5133,N959WN,,SWA1505-1720796804-airline-2423p,False,False,False,False,KSTL,KSTL,STL,STL,America/Chicago,St Louis Lambert Intl,St Louis,/airports/KSTL,KAUS,KAUS,AUS,AUS,America/Chicago,Austin-Bergstrom Intl,Austin,/airports/KAUS,720,180,5700,82,En Route / On Time,B737,742,459,400,JAHNY6 MAP PGO BROBB WINDU SEWZY6,,,,,E36,19,,,Airline,2024-07-14T19:30:00Z,2024-07-14T19:42:00Z,2024-07-14T19:42:00Z,2024-07-14T19:40:00Z,2024-07-14T19:49:58Z,2024-07-14T19:49:58Z,2024-07-14T21:15:00Z,2024-07-14T21:23:00Z,,2024-07-14T21:30:00Z,2024-07-14T21:33:00Z,
SKW6233,SKW6233,OO6233,33,,SKW6233-1720810600-schedule-1643p,SKW,SKW,OO,6233,N614QX,,SKW6371-1720797058-schedule-2507p,False,False,False,False,KASE,KASE,ASE,ASE,America/Denver,Aspen-Pitkin County,Aspen,/airports/KASE,KAUS,KAUS,AUS,AUS,America/Chicago,Austin-Bergstrom Intl,Austin,/airports/KAUS,540,1380,7380,81,En Route / On Time,CRJ7,957,444,370,LINDZ1 LINDZ KEEPP CLIMN MROON HBU ALS CIM LBB UCOKA LAIKS3,,,,,6,30,,,Airline,2024-07-14T18:55:00Z,2024-07-14T19:04:00Z,2024-07-14T19:04:00Z,2024-07-14T19:05:00Z,2024-07-14T19:36:35Z,2024-07-14T19:36:35Z,2024-07-14T21:08:00Z,2024-07-14T21:27:00Z,,2024-07-14T21:14:00Z,2024-07-14T21:37:00Z,
