DayOfWeek,Origin,Dest,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,ArrTimeBlk,Distance,DistanceGroup,ArrDel15_Prediction
7,LAX,JFK,-6,0,0,-1,0800-0859,28,1600-1659,2475,10,1
7,LAX,HNL,-2,0,0,-1,0800-0859,14,1200-1259,2556,11,1
7,LAS,DFW,-4,0,0,-1,0800-0859,11,1200-1259,1055,5,1
7,ORD,EGE,-1,0,0,-1,0800-0859,21,1000-1059,1007,5,1
7,OGG,LAX,-8,0,0,-1,0800-0859,10,1500-1559,2486,10,1
7,LAX,OGG,-6,0,0,-1,0800-0859,28,1200-1259,2486,10,1
7,DFW,ATL,100,100,1,6,0800-0859,15,1100-1159,731,3,1
7,SAT,DFW,23,23,1,1,0800-0859,38,0900-0959,247,1,1
7,PHL,SLC,-7,0,0,-1,0800-0859,48,1200-1259,1927,8,1
7,DFW,AUS,-6,0,0,-1,0800-0859,13,0900-0959,190,1,1
7,LAX,MIA,0,0,0,0,0800-0859,22,1600-1659,2342,10,1
7,EWR,MIA,5,5,0,0,0800-0859,16,1100-1159,1085,5,1
7,MIA,PHL,-3,0,0,-1,0800-0859,30,1100-1159,1013,5,1
7,DFW,CLT,88,88,1,5,0800-0859,13,1100-1159,936,4,1
7,DFW,PHX,-7,0,0,-1,0800-0859,22,1000-1059,868,4,1
7,TPA,CLT,-7,0,0,-1,0800-0859,9,1000-1059,507,3,1
7,MYR,CLT,-10,0,0,-1,0800-0859,23,0900-0959,157,1,1
7,LGA,MIA,-8,0,0,-1,0800-0859,23,1100-1159,1096,5,1
7,BWI,CLT,12,12,0,0,0800-0859,39,1000-1059,361,2,1
7,SFO,DFW,-7,0,0,-1,0800-0859,17,1300-1359,1464,6,1
7,BNA,DFW,7,7,0,0,0800-0859,29,1100-1159,631,3,1
7,MIA,MCO,-6,0,0,-1,0800-0859,14,0900-0959,192,1,1
7,DCA,MIA,-8,0,0,-1,0800-0859,34,1100-1159,919,4,1
7,DFW,PDX,-3,0,0,-1,0800-0859,17,1100-1159,1616,7,1
7,AUS,DFW,-4,0,0,-1,0800-0859,55,0900-0959,190,1,1
7,DFW,PSP,-7,0,0,-1,0800-0859,13,0900-0959,1126,5,1
7,ORD,RSW,34,34,1,2,0800-0859,35,1200-1259,1120,5,1
7,MIA,CLT,-5,0,0,-1,0800-0859,15,1000-1059,650,3,1
7,SAN,DFW,-10,0,0,-1,0800-0859,13,1300-1359,1171,5,1
7,DFW,MIA,-6,0,0,-1,0800-0859,18,1200-1259,1121,5,1
7,DFW,SFO,-5,0,0,-1,0800-0859,11,1100-1159,1464,6,1
7,DEN,CLT,-9,0,0,-1,0800-0859,10,1300-1359,1337,6,1
7,MCO,CLT,11,11,0,0,0800-0859,19,1000-1059,468,2,1
7,ORD,SNA,10,10,0,0,0800-0859,16,1100-1159,1726,7,1
7,DFW,SNA,-5,0,0,-1,0800-0859,14,0900-0959,1205,5,1
7,PIT,CLT,-8,0,0,-1,0800-0859,41,1000-1059,366,2,1
7,ORD,SAN,18,18,1,1,0800-0859,24,1100-1159,1723,7,1
7,MCO,DFW,12,12,0,0,0800-0859,12,1000-1059,985,4,1
7,DFW,EGE,-6,0,0,-1,0800-0859,11,0900-0959,721,3,1
7,ORD,PHL,-9,0,0,-1,0800-0859,15,1100-1159,678,3,1
7,PHX,DFW,-2,0,0,-1,0800-0859,18,1100-1159,868,4,1
7,DFW,BZN,-7,0,0,-1,0800-0859,14,1000-1059,1163,5,1
7,ORD,PHX,18,18,1,1,0800-0859,21,1100-1159,1440,6,1
7,SFO,CLT,269,269,1,12,0800-0859,11,1600-1659,2296,10,1
7,MIA,JFK,6,6,0,0,0800-0859,39,1100-1159,1089,5,1
7,ORD,DEN,12,12,0,0,0800-0859,43,1000-1059,888,4,1
7,ORD,LAX,20,20,1,1,0800-0859,17,1000-1059,1744,7,1
7,LAX,DCA,-6,0,0,-1,0800-0859,20,1600-1659,2311,10,1
7,DEN,ORD,-3,0,0,-1,0800-0859,14,1200-1259,888,4,1
7,MIA,EGE,-5,0,0,-1,0800-0859,26,1100-1159,1810,8,1
7,MIA,LAX,-8,0,0,-1,0800-0859,25,1100-1159,2342,10,1
7,SMF,DFW,-8,0,0,-1,0800-0859,12,1300-1359,1431,6,1
7,DFW,STT,-10,0,0,-1,0800-0859,17,1500-1559,2225,9,1
7,PHX,ORD,-2,0,0,-1,0800-0859,14,1200-1259,1440,6,1
7,TUL,DFW,26,26,1,1,0800-0859,23,0900-0959,237,1,1
7,ORD,LAS,17,17,1,1,0800-0859,39,1100-1159,1514,7,1
7,MIA,DCA,0,0,0,0,0800-0859,16,1100-1159,919,4,1
7,LAS,CLT,8,8,0,0,0800-0859,11,1500-1559,1916,8,1
7,DFW,JAC,-4,0,0,-1,0800-0859,18,1000-1059,1047,5,1
7,PHL,LAS,-1,0,0,-1,0800-0859,54,1100-1159,2176,9,1
7,HNL,LAX,-10,0,0,-1,0800-0859,13,1500-1559,2556,11,1
7,LGA,DFW,-9,0,0,-1,0800-0859,13,1100-1159,1389,6,1
7,DFW,LAS,-5,0,0,-1,0800-0859,18,0900-0959,1055,5,1
7,MIA,ORD,-6,0,0,-1,0800-0859,45,1100-1159,1197,5,1
7,SJU,PHL,-4,0,0,-1,0800-0859,14,1100-1159,1576,7,1
7,PHL,MIA,-11,0,0,-1,0800-0859,15,1100-1159,1013,5,1
7,ATL,DFW,-8,0,0,-1,0800-0859,13,0900-0959,731,3,1
7,TUS,DFW,-8,0,0,-1,0800-0859,35,1100-1159,813,4,1
7,SJU,DFW,-5,0,0,-1,0800-0859,15,1100-1159,2165,9,1
7,DEN,DFW,-4,0,0,-1,0800-0859,25,1100-1159,641,3,1
7,ORD,MIA,15,15,1,1,0800-0859,27,1200-1259,1197,5,1
7,MSY,CLT,-6,0,0,-1,0800-0859,15,1100-1159,651,3,1
7,DFW,ONT,30,30,1,2,0800-0859,13,0900-0959,1188,5,1
7,ORD,PSP,13,13,0,0,0800-0859,18,1100-1159,1652,7,1
7,LAX,PHL,-10,0,0,-1,0800-0859,33,1600-1659,2402,10,1
7,PDX,DFW,-7,0,0,-1,0800-0859,13,1300-1359,1616,7,1
7,RDU,CLT,-9,0,0,-1,0800-0859,19,0900-0959,130,1,1
7,DFW,SAN,-5,0,0,-1,0800-0859,22,1000-1059,1171,5,1
7,DFW,SAT,-6,0,0,-1,0800-0859,10,0900-0959,247,1,1
7,ORD,SEA,0,0,0,0,0800-0859,18,1100-1159,1721,7,1
7,SNA,DFW,21,21,1,1,0800-0859,14,1300-1359,1205,5,1
7,MIA,TPA,-5,0,0,-1,0800-0859,14,0900-0959,204,1,1
7,PHL,MCO,-7,0,0,-1,0800-0859,39,1100-1159,861,4,1
7,DFW,TUS,-4,0,0,-1,0800-0859,15,0900-0959,813,4,1
7,DCA,MCO,-8,0,0,-1,0800-0859,37,1100-1159,759,4,1
7,JAX,CLT,-5,0,0,-1,0800-0859,15,0900-0959,328,2,1
7,PHL,DFW,10,10,0,0,0800-0859,55,1100-1159,1303,6,1
7,PHL,ORD,-8,0,0,-1,0800-0859,41,1000-1059,678,3,1
7,DCA,LGA,-10,0,0,-1,0800-0859,21,0900-0959,214,1,1
7,PHL,CLT,-5,0,0,-1,0800-0859,36,1000-1059,449,2,1
7,DFW,ORD,0,0,0,0,0800-0859,13,1100-1159,801,4,1
7,PHL,LAX,0,0,0,0,0800-0859,44,1200-1259,2402,10,1
7,MIA,ATL,-2,0,0,-1,0800-0859,39,1000-1059,594,3,1
7,MSP,DFW,-3,0,0,-1,0800-0859,51,1100-1159,852,4,1
7,DFW,MTJ,-7,0,0,-1,0800-0859,16,0900-0959,722,3,1
7,LAX,DFW,-7,0,0,-1,0800-0859,14,1300-1359,1235,5,1
7,DFW,BNA,-10,0,0,-1,0800-0859,19,1000-1059,631,3,1
7,IAH,CLT,-6,0,0,-1,0800-0859,11,1200-1259,912,4,1
7,IAH,DFW,-1,0,0,-1,0800-0859,61,0900-0959,224,1,1
7,EGE,DFW,-1,0,0,-1,0800-0859,10,1100-1159,721,3,1
7,DFW,DEN,-10,0,0,-1,0800-0859,17,0900-0959,641,3,1
7,PHL,STT,-9,0,0,-1,0800-0859,45,1300-1359,1605,7,1
7,BUR,DFW,-7,0,0,-1,0800-0859,16,1300-1359,1231,5,1
7,ONT,DFW,16,16,1,1,0800-0859,9,1300-1359,1188,5,1
7,ORD,PDX,-7,0,0,-1,0800-0859,14,1100-1159,1739,7,1
7,DFW,MCO,-5,0,0,-1,0800-0859,14,1200-1259,985,4,1
7,OKC,DFW,-10,0,0,-1,0800-0859,57,0900-0959,175,1,1
